Year,Month,Weekly,Date,Fac.,Model,PGSC,Supplier,Part group,Stock Qty,Input Q'ty,Target of Input Qty,Inspection Qty,Pass Qty,Reject Qty,Return Qty,Percent,Return %,Result,Air Bubble,Big/ small,Bonding gap,Blk point,Burn,"Color 
Migration",C-Grade ,Crooked toe,Damaged,Deform,"Different 
color",Dirty,Long\ Short,Long ,Short,Missing Painting,Mold,Over Cement,Over painting,Over Primer,"Over
trimming",Uneven color,"Peel Off
painting",Poor Attached,"Poor 
buffing","Poor 
painting",Poor Trimming,Shiny/not shiny,Tear/ Crack,Thickness,Scratched,Toe spring/Hell spring,Undercure,Thinness Edge,Wobbling,Yellow,Over buffing,Poor edge,Fungus,Concave,Long toe,Others,REMARK
2025,1,1,2025-01-04,C,GRAND COURT 2.0 EL C,AC3-IE3851,TAESUNG RACH GIA,Outsole,,5368,5368,530,366,164,5368,30.94%,100.00%,Fail,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-04,C,VL COURT 3.0 EL C,AB4-ID9155,TAESUNG CU CHI,Outsole,,1200,1200,1200,1068,132,132,11.00%,11.00%,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,2,2025-01-06,D,VS PACE 2.0,A-JI1812,TAESUNG RACH GIA,Stockfit,4367,0,4367,3127,3055,72,72,2.30%,1.65%,,,,21,,,,,,,,,23,,,,,,,,,,,,,,,,,,19,,,,,,,9,,,,,,
2025,1,2,2025-01-06,D,GRAND COURT 2.0,AB1-GW9199,TAESUNG RACH GIA,Outsole,,0,863,863,840,23,23,2.67%,2.67%,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,2,2025-01-06,D,VS PACE 2.0,A-JI1811,TAESUNG RACH GIA,Stockfit,,510,510,60,59,1,1,1.67%,0.20%,Pass,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,2,2025-01-06,D,VS PACE 2.0,A-JI1812,TAESUNG RACH GIA,Stockfit,,760,760,80,78,2,2,2.50%,0.26%,Pass,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,2,2025-01-06,D,VS PACE 2.0,AB1-HP6008,TAESUNG RACH GIA,Stockfit,,960,960,100,98,2,2,2.00%,0.21%,Pass,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2025,1,2,2025-01-06,D,VS PACE 2.0,AB1-HP6012,TAESUNG RACH GIA,Stockfit,,810,810,90,88,2,2,2.22%,0.25%,Pass,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2025,1,2,2025-01-06,D,VS PACE 2.0,AB1-HP6010,TAESUNG RACH GIA,Stockfit,,1161,1161,120,118,2,2,1.67%,0.17%,Pass,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025,1,2,2025-01-06,D,VS PACE 2.0,AB1-HP6009,TAESUNG RACH GIA,Stockfit,,252,252,30,30,0,0,0.00%,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
