Year,Month,Week,Date,Supplier,Part,Process,Model,PGSC,Po#,Input Qty ,Inspection Q'ty ,Pass Qty ,Reject Qty ,Reject %,Result,"Wrong printing 
position",Bad printing,"Peel off 
printing",Delamination,"Wrong pressing 
position","Different
 color",Dirty,Bonding Gap,"Logo scratch/
peel of",High/ low sidetrip,Air hole,"Peel off
3 stripes",Poor 3 trip,Undistance,Damaged material,"Pressing not
emboss","Pressing not 
subsidence",Wrong size,Wrong material,"Wrong cutting
 direction",Wrong cutting die,Punch Hole,Peel off pressing,Overcement,Cutting deviated,Peel off eyestay,Burned Material,Poor logo,Color migration,Over painting,White spot,Needle hole,Jagged marks,Lack of painting,Big/Small Logo,Poor pressing,Poor edge,Peel off painting,Over trimming,Lack of details,Heel 3mm short,Heel 4mm short,Heel 5mm short,Heel 6mm short,Toe 3mm short,Wamp pattern position wrong over +-1mm,Wrong position logo 2mm,Wrong position logo 3-4-5mm,Logo dented,Wrong size toe box,Eyestay pressing subsidence not matching,Wrong wamp position to left/right,Other defect,Remark 
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,VS PACE 2.0,AB1-HP6010,900303316,710,71,71,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,VS PACE 2.0,A-JQ3111,900199137,1260,126,121,5,3.97%,Pass,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,VS PACE 2.0,A-JQ3111,900193509,1912,191,183,8,4.19%,Pass,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,VS PACE 2.0,A-JQ3111,900346343,820,82,79,3,3.66%,Pass,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Heel tap,Printing,GRAND COURT 2.0 EL C,AC2-IE5995,A136003016,536,53,53,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,TENSAUR COMFORT AC J,A-JR6087,900223833,256,256,250,6,2.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Quater,Printing,VS PACE 2.0,AC5-HP6009,900303301,346,34,34,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9319,135561348,144,7,7,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9322,135970630,166,166,163,3,1.81%,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9319,135561348,144,144,144,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9319,135971982,205,10,10,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9313,900155199,40,2,2,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9319,135971982,205,205,205,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9313,900155199,40,40,40,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-IH8608,136120653,534,26,26,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-IH8608,136121830,100,5,5,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-IH8608,136121830,100,100,100,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Vamp,Nosew,LIGHTSHIFT,A-JH9313,136120773,486,486,485,1,0.21%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue Logo,HF,LIGHTSHIFT,A-JH9313,136120773,486,24,24,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,Nosew,TENSAUR RUN 3.0 J,A-JR6043,900223853,603,60,60,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,Nosew,TENSAUR RUN 3.0 J,A-JR6043,900223881,213,21,21,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,Nosew,TENSAUR SPORT 2.0 CF K,AB4-GW6439,135848287,2983,298,295,3,1.01%,Pass,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,Nosew,TENSAUR SPORT 2.0 CF K,AC10-GW1981,900334150,565,56,56,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,HF,Tensaur Comfort AC J,A-JR6087,900223828,567,56,56,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,Nosew,TENSAUR SPORT 2.0 K,AC2-IF1722,900391574,757,75,75,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,Nosew,LIGHTSHIFT,A-JH9317,900152950,2710,2710,"2,704",6,0.22%,,,,,,,,2,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,INHOUSE,Vamp,Nosew,TENSAUR RUN 3.0 J,AB-IE3545,135450785,300,30,30,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
